order_id,customer_id,product_id,order_date,quantity,price
1,149,10,2024-10-10,2,453.28
2,32,22,2024-11-24,1,206.02
3,453,40,2025-01-12,2,178.45
4,205,4,2025-04-14,5,310.64
5,309,39,2023-12-25,1,356.55
6,293,3,2025-04-14,1,437.91
7,19,34,2024-04-07,1,383.91
8,396,43,2024-10-02,5,466.22
9,7,31,2025-04-21,4,423.58
10,36,18,2024-08-16,3,416.98
11,403,22,2025-01-06,3,206.02
12,274,34,2025-06-21,4,383.91
13,185,17,2024-09-24,5,236.4
14,35,45,2025-04-26,4,242.32
15,319,50,2024-12-10,5,412.85
16,303,16,2024-01-05,5,119.4
17,468,38,2025-03-18,5,64.3
18,204,5,2025-06-21,2,234.83
19,234,10,2025-06-23,3,453.28
20,303,14,2023-07-22,5,483.27
21,49,27,2025-07-08,1,260.65
22,220,18,2025-05-12,1,416.98
23,432,4,2024-05-26,1,310.64
24,465,39,2024-09-08,3,356.55
25,180,19,2024-11-26,3,406.76
26,6,39,2024-04-16,1,356.55
27,330,4,2025-06-11,4,310.64
28,106,13,2024-12-05,3,308.95
29,240,25,2023-10-06,2,58.57
30,274,8,2025-06-27,1,84.35
31,97,19,2024-06-02,4,406.76
32,364,11,2025-07-29,4,32.84
33,328,10,2025-07-22,2,453.28
34,391,49,2025-06-04,1,494.83
35,43,9,2024-01-03,4,380.9
36,336,26,2024-04-01,3,409.91
37,10,19,2023-07-23,5,406.76
38,222,4,2024-11-09,2,310.64
39,406,37,2024-08-14,3,247.5
40,486,13,2025-07-06,5,308.95
41,89,31,2025-03-13,1,423.58
42,370,9,2025-02-11,2,380.9
43,274,19,2024-06-15,3,406.76
44,255,36,2025-01-05,2,130.77
45,330,10,2023-12-20,2,453.28
46,324,41,2025-02-24,4,392.1
47,48,10,2024-05-21,5,453.28
48,467,37,2024-06-26,4,247.5
49,492,11,2025-03-25,2,32.84
50,119,19,2025-07-19,5,406.76
51,279,27,2025-03-12,5,260.65
52,36,28,2024-02-23,1,413.67
53,116,49,2025-04-30,5,494.83
54,89,20,2025-07-09,4,256.16
55,75,21,2025-03-15,2,156.61
56,44,40,2025-06-16,2,178.45
57,13,23,2024-08-23,3,61.05
58,341,18,2025-02-22,2,416.98
59,38,3,2025-06-21,1,437.91
60,183,47,2025-07-09,3,209.65
61,395,43,2024-12-02,3,466.22
62,2,30,2025-05-25,5,389.17
63,87,13,2025-06-01,1,308.95
64,295,46,2023-11-11,4,143.66
65,266,46,2024-09-25,3,143.66
66,374,8,2025-08-01,1,84.35
67,106,31,2023-09-27,5,423.58
68,281,38,2025-02-10,3,64.3
69,1,26,2025-06-19,4,409.91
70,56,12,2023-12-01,5,317.1
71,493,28,2025-07-13,4,413.67
72,391,28,2025-03-13,5,413.67
73,425,9,2024-11-21,4,380.9
74,43,7,2024-10-18,5,199.03
75,190,23,2025-07-06,1,61.05
76,259,36,2025-03-22,1,130.77
77,172,33,2025-05-27,2,251.05
78,464,34,2023-10-07,2,383.91
79,331,4,2024-10-03,5,310.64
80,366,25,2024-04-02,2,58.57
81,352,35,2025-06-12,2,157.64
82,384,2,2025-04-27,5,31.66
83,298,33,2024-10-01,1,251.05
84,260,16,2025-04-09,1,119.4
85,213,50,2024-08-20,3,412.85
86,414,11,2025-03-24,1,32.84
87,342,44,2023-12-25,3,283.26
88,150,41,2025-04-23,5,392.1
89,114,46,2025-01-18,1,143.66
90,30,29,2025-07-06,5,396.97
91,287,8,2024-06-04,1,84.35
92,81,30,2024-08-27,3,389.17
93,23,22,2025-07-01,5,206.02
94,180,10,2025-01-01,2,453.28
95,133,40,2023-12-30,5,178.45
